Gene_human,Order of runs (priority),Exclude due to N term >160AA,Prioritization Notes,Class or type
OR12D3,Exclude,,Exclude,Olfactory
OR13A1,Exclude,,Exclude,Olfactory
OR13C2,Exclude,,Exclude,Olfactory
OR13C3,Exclude,,Exclude,Olfactory
OR13C4,Exclude,,Exclude,Olfactory
OR13C5,Exclude,,Exclude,Olfactory
OR13C7,Exclude,,Exclude,Olfactory
OR13C8,Exclude,,Exclude,Olfactory
OR13C9,Exclude,,Exclude,Olfactory
OR13D1,Exclude,,Exclude,Olfactory
OR13F1,Exclude,,Exclude,Olfactory
OR13G1,Exclude,,Exclude,Olfactory
OR13H1,Exclude,,Exclude,Olfactory
OR13J1,Exclude,,Exclude,Olfactory
OR14A16,Exclude,,Exclude,Olfactory
OR14A2,Exclude,,Exclude,Olfactory
OR14C36,Exclude,,Exclude,Olfactory
OR14I1,Exclude,,Exclude,Olfactory
OR14J1,Exclude,,Exclude,Olfactory
OR14K1,Exclude,,Exclude,Olfactory
OR14L1,Exclude,,Exclude,Olfactory
OR2A1,Exclude,,Exclude,Olfactory
OR2A12,Exclude,,Exclude,Olfactory
OR2A14,Exclude,,Exclude,Olfactory
OR2A2,Exclude,,Exclude,Olfactory
OR2A25,Exclude,,Exclude,Olfactory
OR2A4,Exclude,,Exclude,Olfactory
OR2A42,Exclude,,Exclude,Olfactory
OR2A5,Exclude,,Exclude,Olfactory
OR2A7,Exclude,,Exclude,Olfactory
OR2AE1,Exclude,,Exclude,Olfactory
OR2AG1,Exclude,,Exclude,Olfactory
OR2AG2,Exclude,,Exclude,Olfactory
OR2AJ1,Exclude,,Exclude,Olfactory
OR2AK2,Exclude,,Exclude,Olfactory
OR2AP1,Exclude,,Exclude,Olfactory
OR2AT4,Exclude,,Exclude,Olfactory
OR2B11,Exclude,,Exclude,Olfactory
OR2B2,Exclude,,Exclude,Olfactory
OR2B3,Exclude,,Exclude,Olfactory
OR2B6,Exclude,,Exclude,Olfactory
OR2B8P,Exclude,,Exclude,Olfactory
OR2C1,Exclude,,Exclude,Olfactory
OR2C3,Exclude,,Exclude,Olfactory
OR2D2,Exclude,,Exclude,Olfactory
OR2D3,Exclude,,Exclude,Olfactory
OR2F1,Exclude,,Exclude,Olfactory
OR2F2,Exclude,,Exclude,Olfactory
OR2G2,Exclude,,Exclude,Olfactory
OR2G3,Exclude,,Exclude,Olfactory
OR2G6,Exclude,,Exclude,Olfactory
OR2H1,Exclude,,Exclude,Olfactory
OR2H2,Exclude,,Exclude,Olfactory
OR2I1P,Exclude,,Exclude,Olfactory
OR2J1,Exclude,,Exclude,Olfactory
OR2J2,Exclude,,Exclude,Olfactory
OR2J3,Exclude,,Exclude,Olfactory
OR2K2,Exclude,,Exclude,Olfactory
OR2L13,Exclude,,Exclude,Olfactory
OR2L2,Exclude,,Exclude,Olfactory
OR2L3,Exclude,,Exclude,Olfactory
OR2L5,Exclude,,Exclude,Olfactory
OR2L8,Exclude,,Exclude,Olfactory
OR2M2,Exclude,,Exclude,Olfactory
OR2M3,Exclude,,Exclude,Olfactory
OR2M4,Exclude,,Exclude,Olfactory
OR2M5,Exclude,,Exclude,Olfactory
OR2M7,Exclude,,Exclude,Olfactory
OR2S2,Exclude,,Exclude,Olfactory
OR2T1,Exclude,,Exclude,Olfactory
OR2T10,Exclude,,Exclude,Olfactory
OR2T11,Exclude,,Exclude,Olfactory
OR2T12,Exclude,,Exclude,Olfactory
OR2T2,Exclude,,Exclude,Olfactory
OR2T27,Exclude,,Exclude,Olfactory
OR2T29,Exclude,,Exclude,Olfactory
OR2T3,Exclude,,Exclude,Olfactory
OR2T33,Exclude,,Exclude,Olfactory
OR2T34,Exclude,,Exclude,Olfactory
OR2T35,Exclude,,Exclude,Olfactory
OR2T4,Exclude,,Exclude,Olfactory
OR2T5,Exclude,,Exclude,Olfactory
OR2T6,Exclude,,Exclude,Olfactory
OR2T7,Exclude,,Exclude,Olfactory
OR2T8,Exclude,,Exclude,Olfactory
OR2V1,Exclude,,Exclude,Olfactory
OR2V2,Exclude,,Exclude,Olfactory
OR2W1,Exclude,,Exclude,Olfactory
OR2W3,Exclude,,Exclude,Olfactory
OR2W5P,Exclude,,Exclude,Olfactory
OR2W6P,Exclude,,Exclude,Olfactory
OR2Y1,Exclude,,Exclude,Olfactory
OR2Z1,Exclude,,Exclude,Olfactory
OR3A1,Exclude,,Exclude,Olfactory
OR3A2,Exclude,,Exclude,Olfactory
OR3A3,Exclude,,Exclude,Olfactory
OR3A4P,Exclude,,Exclude,Olfactory
