rec,lig,act_type,lig_nt,lig_ct,potency_ranks,citation,pAct
hACKR1,hCCL7x24x99,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hOPRD,hPDYNx175x184,,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,
hGALR3,hGALPx25x84,Agonist,,,galanin-like peptide > galanin,,8
hLGR4,hRSPO2x22x243,Full agonist,,,,,12.52
hNK2R,hTKN1x58x68,Full agonist,,NH2,neurokinin A > neurokinin B >> substance P,,
hNK3R,hTKNKx81x90,Full agonist,,NH2,neurokinin B > neurokinin A > substance P,,8.4
hBKRB2,hKNG1x380x388,,,,"kallidin > bradykinin >> [des-Arg<sup>9</sup>]bradykinin, [des-Arg<sup>10</sup>]kallidin",,
hC3AR,hCO5x678x751,,,,C3a > C5a,,
hLGR6,hRSPO1x21x263,Full agonist,,,,,
hOPRD,hPENKx100x104,,,,"&beta;-endorphin, [Leu]enkephalin, [Met]enkephalin",,
hMC3R,hAGRPx21x132,Inverse agonist,,,"&gamma;-MSH, &beta;-MSH > ACTH, &alpha;-MSH",,7.7
hACKR1,hCCL2x24x99,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hMC3R,hCOLIx77x87,Full agonist,,NH2,"&gamma;-MSH, &beta;-MSH > ACTH, &alpha;-MSH",,8.5
hOPRK,hPDYNx175x184,Full agonist,,,"big dynorphin, dynorphin A",,
hCCR3,hCXL10x22x98,Antagonist,,,,,
hCCR5,hCCL4x24x92,Full agonist,,,,,
hBKRB2,hKNG1x381x388,Full agonist,,,"kallidin > bradykinin >> [des-Arg<sup>9</sup>]bradykinin, [des-Arg<sup>10</sup>]kallidin",,5.1
hCXCR4,hSDF1x22x93,Full agonist,,,,,7.86
hACKR2,hCCL5x24x91,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hCCR1,hCCL14x20x93,Full agonist,,,,,7.4
hSSR3,hSMSx103x116,Full agonist,,,,,
hCCR3,hCCL24x27x119,Full agonist,,,,,
hGALR3,hSPXNx36x49,Agonist,,NH2,galanin-like peptide > galanin,,6.2
hACKR1,hCCL17x24x94,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hFPR2,hPRIOx106x126,Agonist,,,LXA<sub>4</sub> = aspirin triggered lipoxin A4 = ATLa2 = resolvin D1 > LTC<sub>4</sub> = LTD<sub>4</sub> >> 15-deoxy-LXA4 >> fMet-Leu-Phe,,4.6
hGALR1,hGALPx25x84,Agonist,,,galanin > galanin-like peptide,,7.11
hQRFPR,hOX26x91x133,Full agonist,,NH2,,,
hCRFR2,hUCN1x83x122,Full agonist,,NH2,,,
hCXCR3,hCCL11x24x97,Antagonist,,,,,7.2
hFZD1,hWNT1x28x370,,,,,,
hCCR2,hCCL8x24x99,Full agonist,,,,,8.6
hNK3R,hTKN1x98x107,Full agonist,,NH2,neurokinin B > neurokinin A > substance P,,7.4
hNK1R,hTKN1x58x68,Full agonist,,NH2,substance P > neurokinin A > neurokinin B,,
hCRFR1,hUCN2x72x109,Full agonist,,NH2,,,
hOX1R,hOREXx70x97,Full agonist,,NH2,"orexin-A > orexin-B (for Ca<sup>2+</sup> elevation, unclear/variable for other responses)",,
hLGR6,hRSPO2x22x243,Full agonist,,,,,
hCCR3,hCCL26x24x94,Full agonist,,,,,
hPRLHR,hPRRPx34x53,Full agonist,,NH2,PrRP-20 = PrRP-31,,
hCALCR,hIAPPx34x70,Full agonist,,NH2,"calcitonin &ge; amylin, &alpha;-CGRP, &beta;-CGRP > adrenomedullin, adrenomedullin 2/intermedin",,
hNTR1,hNEUTx24x148,Full agonist,,,neurotensin > neuromedin N,,7.4
hPTH2R,hPTHRx37x70,Full agonist,,,"TIP39, PTH >> PTHrP",,6.1
hCXCR3,hCCL7x24x99,Antagonist,,,,,6.6
hBKRB1,hKNG1x381x389,Full agonist,,,[des-Arg<sup>10</sup>]kallidin > [des-Arg<sup>9</sup>]bradykinin = kallidin > bradykinin,,4
hSSR4,hSMSx103x116,Full agonist,,,,,
